username;date;retweets;favorites;text;hashtags
goal_ghana;2016-07-08;0;0;Giroud: France cannot stop now as Euro 2016 final looms http:// dlvr.it/LlMKwJ pic.twitter.com/xWEDncckci;
erickajpb;2016-07-08;0;0;Ahora que #GER se nos fue de la #EURO2016 ;
goal;2016-07-08;26;37;Giroud: France cannot stop now as Euro 2016 final looms http:// dlvr.it/LlMKvY pic.twitter.com/0lbm0lLKWa;
AlbertMinogue;2016-07-08;0;2;#France J'te aime #EURO2016;#France #EURO2016
MaximilienBrx;2016-07-08;0;0;Apr?s la g?n?ration Zizou;
KillaInstinctPT;2016-07-08;1;2;In the meantime....:) #POR #PORFRA #EURO2016 #Fra #Portugal #PortugalvsFrance #GERFRA pic.twitter.com/VOHNpqLqa4;#POR #PORFRA #EURO2016 #Fra #Portugal #PortugalvsFrance #GERFRA
wc2018nws;2016-07-08;0;0;Giroud: France cannot stop now as Euro 2016 final looms http:// bit.ly/29EiPH2 #AntoineGriezmann #OlivierGiroud;#AntoineGriezmann #OlivierGiroud
4kidsolshop;2016-07-08;0;0;sedih deh..... Jermanku kalah Germany 0 vs France 2 #EURO2016 #temenLebaran #SemiFinal;#EURO2016 #temenLebaran #SemiFinal
Farid_HC;2016-07-08;0;0;Este es el momento para #FRA tiene que levantar la #EURO2016 y as? ir a pelear por el t?tulo en la Copa Confederaciones.;#FRA #EURO2016
____ia________M;2016-07-08;0;0;???????? ???. ?????????????? ??????? #????????????? #EURO2016;# #EURO2016
romanog74;2016-07-08;0;0;@JulienMunegu @FPivier74 petit bordel ? Annecy askip #EURO2016 #FRAALL #FRA pic.twitter.com/t5RX66yNgx;#EURO2016 #FRAALL #FRA
DavidCastagnet;2016-07-08;1;1;UEFA EURO 2016 ! La Tour Eiffel illumin?e aux couleurs du Drapeau Fran?a... https:// youtu.be/BfKtvfrMtus via @YouTube;
anne_imagus;2016-07-08;0;0;Soyez pas trop confiants pour #PORFRA #FRAPOR vs avez bien vu comment ils ont niqu? tt le monde l?;
SarahStone234;2016-07-08;0;4;"Some of these men have very snappy haircuts"" - My dad watching #euro2016""";#euro2016
sencerpicks;2016-07-08;0;0;Francia dando la sorpresa en esta #EURO2016 ;
Daniel_Jerome44;2016-07-08;0;0;Euro 2016 : la France m?ne 1-0 face ? l'Allemagne ? la mi-temps http:// ift.tt/29m2tO6;
diorwhxre;2016-07-08;0;0;jsuis tellement fi?re de griezi;
LukeOD17;2016-07-08;0;0;I'm supporting #FRA in #Euro2016 Semi-Final & unlocked my custom @shirt from @Brndstr ! Who are you supporting? https:// cards.twitter.com/cards/18ce53z0 cix/1x65u ?;#FRA #Euro2016
Daniel_Jerome44;2016-07-08;0;0;Euro 2016 : la France bat l'Allemagne (2-0) et se qualifie pour la finale ! En battant l'Allemagne;
5ElMagallanero;2016-07-08;1;0;Francia liquid? a Alemania y puso su nombre en la Gran Final de la #EURO2016;#EURO2016
